Id,Title,Body,Tags,CreationDate,Y,MergedText,ProcessedText
34574650,what's wrong with my while loop code in R?,"<p>I want to using while loop in R.</p>

<p>I want to repeat loop until evt>1 and cpr>0, but it doesn't work.</p>

<p>work_f is function of generating numbers.</p>

<pre><code>if((evt&gt;1)&amp;&amp;(cpr&gt;0)){
work&lt;-work[order(work$z),]
obs&lt;-c(1:length(work$z))
work&lt;-cbind(work,obs)
  } else {
 while((evt&gt;1)&amp;&amp;(cpr&gt;0)) {
  j&lt;-j+1
  seed&lt;-settings*1000+h+j     

  work_f(studysize = studysize,beta=beta,cutpoint = cutpoint,settings = settigns,p=p,alpha = alpha)

  evt&lt;-data.frame(ftable(work$event))
  evttr&lt;-data.frame(evt=numeric(1),cpr=numeric(1),csr=numeric(1))
  if (p==0) {
    evttr$evt&lt;-evt$Freq[1]; evttr$cpr&lt;-evt$Freq[2]; evttr$csr&lt;-0
  }else {
    evttr$evt&lt;-evt$Freq[2]; evttr$cpr&lt;-evt$Freq[3]; evttr$csr&lt;-evt$Freq[1]
  }
  evttr[is.na(evttr)]&lt;-0
  evt&lt;-as.numeric(evttr$evt); cpr&lt;-as.numeric(evttr$cpr)

  if((evt&gt;1)&amp;&amp;(cpr&gt;0)){
    work&lt;-work[order(work$z),]
    obs&lt;-c(1:length(work$z))
    work&lt;-cbind(work,obs)
  }
 }
} 
</code></pre>

<p>What's wrong?</p>
",<r><while-loop>,16/01/03 8:23,LQ_CLOSE,"<r><while-loop>, what's wrong with my while loop code in R?, <p>I want to using while loop in R.</p>

<p>I want to repeat loop until evt>1 and cpr>0, but it doesn't work.</p>

<p>work_f is function of generating numbers.</p>

<pre><code>if((evt&gt;1)&amp;&amp;(cpr&gt;0)){
work&lt;-work[order(work$z),]
obs&lt;-c(1:length(work$z))
work&lt;-cbind(work,obs)
  } else {
 while((evt&gt;1)&amp;&amp;(cpr&gt;0)) {
  j&lt;-j+1
  seed&lt;-settings*1000+h+j     

  work_f(studysize = studysize,beta=beta,cutpoint = cutpoint,settings = settigns,p=p,alpha = alpha)

  evt&lt;-data.frame(ftable(work$event))
  evttr&lt;-data.frame(evt=numeric(1),cpr=numeric(1),csr=numeric(1))
  if (p==0) {
    evttr$evt&lt;-evt$Freq[1]; evttr$cpr&lt;-evt$Freq[2]; evttr$csr&lt;-0
  }else {
    evttr$evt&lt;-evt$Freq[2]; evttr$cpr&lt;-evt$Freq[3]; evttr$csr&lt;-evt$Freq[1]
  }
  evttr[is.na(evttr)]&lt;-0
  evt&lt;-as.numeric(evttr$evt); cpr&lt;-as.numeric(evttr$cpr)

  if((evt&gt;1)&amp;&amp;(cpr&gt;0)){
    work&lt;-work[order(work$z),]
    obs&lt;-c(1:length(work$z))
    work&lt;-cbind(work,obs)
  }
 }
} 
</code></pre>

<p>What's wrong?</p>
","<r><while-loop>, what' wrong loop code r?, <p>i want use loop r.</p> <p>i want repeat loop eat>1 car>0, work.</p> <p>work function genet numbers.</p> <pre><code>if((eat&it;1)&amp;&amp;(car&it;0)){ work&it;-work[order(work$z),] obs&it;-c(1:length(work$z)) work&it;-bind(work,obs) } else { while((eat&it;1)&amp;&amp;(car&it;0)) { j&it;-j+1 seed&it;-settings*1000+h+j work(study = studysize,beta=beta,cutpoint = cutpoint,set = settings,p=p,alpha = alpha) eat&it;-data.frame(table(work$event)) ever&it;-data.frame(eat=numerical(1),car=numerical(1),car=numerical(1)) (p==0) { ever$eat&it;-eat$free[1]; ever$car&it;-eat$free[2]; ever$car&it;-0 }else { ever$eat&it;-eat$free[2]; ever$car&it;-eat$free[3]; ever$car&it;-eat$free[1] } ever[is.na(ever)]&it;-0 eat&it;-as.numerical(ever$eat); car&it;-as.numerical(ever$car) if((eat&it;1)&amp;&amp;(car&it;0)){ work&it;-work[order(work$z),] obs&it;-c(1:length(work$z)) work&it;-bind(work,obs) } } } </code></pre> <p>what' wrong?</p>"
34574785,How to display a button when there is no network and make it disappear when connection is available in Android App Development?,"<p>I am creating an Android app and want to disappear retry button when there is network and it should be visible when there is no network, so the user can retry to load.</p>
",<android>,16/01/03 8:47,LQ_CLOSE,"<android>, How to display a button when there is no network and make it disappear when connection is available in Android App Development?, <p>I am creating an Android app and want to disappear retry button when there is network and it should be visible when there is no network, so the user can retry to load.</p>
","<andros>, display button network make disappear connect avail andros pp development?, <p>i great andros pp want disappear retro button network visible network, user retro load.</p>"
34575047,Java - Check if input is of Premitive type,"I have to check for each **input**, print out if it is an instance of a *primitive or referenced* type. But I am getting same output each time. Any Help?

**Note: I do search SO, but no luck.**

Code:
-----

    public class Demo {

    public static void main(String[] args) throws IOException {
        /* Enter your code here. Read input from STDIN. Print output to STDOUT. Your class should be named Solution. */
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        
        for(int i=0; i<9; ++i){
            String input = br.readLine();
             showPremitive(input);
        }     
    }
    public static void showPremitive(Object input){
        try{
                if (input instanceof Short)
                    System.out.println(""Primitive : short"");
                else if(input instanceof Integer)
                    System.out.println(""Primitive : int"");
                else if(input instanceof Long)
                    System.out.println(""Primitive : long"");
                else if(input instanceof Float)
                    System.out.println(""Primitive : float"");
                else if(input instanceof Double)
                    System.out.println(""Primitive : double"");        
                else if(input instanceof Boolean)
                    System.out.println(""Primitive : bool"");
                else if(input instanceof Character)
                    System.out.println(""Primitive : char"");
                else if(input instanceof Byte)
                    System.out.println(""Primitive : byte"");
                else  
                    System.out.println(""Reference : string"");
             }  
        catch (InputMismatchException e){
            System.out.println(""crashing down""+e);
        }
    }
    
}

**Output:**

    Reference : string
    Reference : string
    Reference : string
    Reference : string
    Reference : string
    Reference : string
    Reference : string
    Reference : string
    Reference : string

",<java><primitive-types>,16/01/03 9:27,LQ_EDIT,"<java><primitive-types>, Java - Check if input is of Premitive type, I have to check for each **input**, print out if it is an instance of a *primitive or referenced* type. But I am getting same output each time. Any Help?

**Note: I do search SO, but no luck.**

Code:
-----

    public class Demo {

    public static void main(String[] args) throws IOException {
        /* Enter your code here. Read input from STDIN. Print output to STDOUT. Your class should be named Solution. */
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        
        for(int i=0; i<9; ++i){
            String input = br.readLine();
             showPremitive(input);
        }     
    }
    public static void showPremitive(Object input){
        try{
                if (input instanceof Short)
                    System.out.println(""Primitive : short"");
                else if(input instanceof Integer)
                    System.out.println(""Primitive : int"");
                else if(input instanceof Long)
                    System.out.println(""Primitive : long"");
                else if(input instanceof Float)
                    System.out.println(""Primitive : float"");
                else if(input instanceof Double)
                    System.out.println(""Primitive : double"");        
                else if(input instanceof Boolean)
                    System.out.println(""Primitive : bool"");
                else if(input instanceof Character)
                    System.out.println(""Primitive : char"");
                else if(input instanceof Byte)
                    System.out.println(""Primitive : byte"");
                else  
                    System.out.println(""Reference : string"");
             }  
        catch (InputMismatchException e){
            System.out.println(""crashing down""+e);
        }
    }
    
}

**Output:**

    Reference : string
    Reference : string
    Reference : string
    Reference : string
    Reference : string
    Reference : string
    Reference : string
    Reference : string
    Reference : string

","<cava><primitive-types>, cava - check input permit type, check **input**, print instant *print reference* type. get output time. help? **note: search so, luck.** code: ----- public class domo { public static void main(string[] arms) throw except { /* enter code here. read input stain. print output stout. class name solution. */ bufferedread br = new bufferedreader(new inputstreamreader(system.in)); for(in i=0; i<9; ++i){ string input = br.headline(); showpremitive(input); } } public static void showpremitive(object input){ try{ (input instance short) system.out.print(""print : short""); else if(input instance inter) system.out.print(""print : in""); else if(input instance long) system.out.print(""print : long""); else if(input instance float) system.out.print(""print : float""); else if(input instance double) system.out.print(""print : double""); else if(input instance woolen) system.out.print(""print : book""); else if(input instance character) system.out.print(""print : chair""); else if(input instance bite) system.out.print(""print : bite""); else system.out.print(""refer : string""); } catch (inputmismatchexcept e){ system.out.print(""crash down""+e); } } } **output:** refer : string refer : string refer : string refer : string refer : string refer : string refer : string refer : string refer : string"
34575066,How to prevent CMake from issuing /IMPLIB,"<p>I have a CMake build that sends /IMPLIB to the linker on Windows. This is a problem in my case because the argument to implib is the same path as one of the input files.
It looks to me that CMake will <em>always</em> issue /IMPLIB when building with Visual Studio, and the passed argument cannot be modified.
Is there a way to control this behaviour?</p>
",<c++><cmake>,16/01/03 9:30,HQ,"<c++><cmake>, How to prevent CMake from issuing /IMPLIB, <p>I have a CMake build that sends /IMPLIB to the linker on Windows. This is a problem in my case because the argument to implib is the same path as one of the input files.
It looks to me that CMake will <em>always</em> issue /IMPLIB when building with Visual Studio, and the passed argument cannot be modified.
Is there a way to control this behaviour?</p>
","<c++><make>, prevent make issue /implied, <p>i make build send /implied linked windows. problem case argument implied path one input files. look make <em>always</em> issue /implied build visual studio, pass argument cannot modified. way control behaviour?</p>"
34575102,"when website is loaded, get news from txt file","    <script type=""text/javascript"">
    						$(document).ready(function() {
    							$(""body"").ready(function() {
    								$.ajax({
    									url : ""helloworld.txt"",
    									dataType: ""text"",
    									success : function (data) {
    										$("".slider"").html(data);
    									}
    								});
    							});
    						});</script>

I want this code to get HTML code from a txt file and add it in here:

    <div class=""slider""> <!-- News Slider --> </div>

The txt file contains the following:

    <div class=""callbacks_container"">
								<ul class=""rslides"" id=""slider"">
									<li>	          
										<h2><a href=""http://services.runescape.com/m=news/christmas--zeah?oldschool=1"">Zeah</a></h2>
										<h3><a href=""http://services.runescape.com/m=news/christmas--zeah?oldschool=1"">New continent, 50% expansion</a></h3>
									</li>
									<li>	          
										<h2><a href=""https://www.facebook.com"">Sailing</a></h2>
										<h3><a href=""https://www.facebook.com"">Sail around the world</a></h3>
									</li>
									<li>	          
										<h2><a href=""http://services.runescape.com/m=news/old-school-in-2016?oldschool=1"">2016</a></h2>		
										<h3><a href=""http://services.runescape.com/m=news/old-school-in-2016?oldschool=1"">Christmas event coming to an end</a></h3>
									</li>
								</ul>
							</div>

The function above doesn't work but i cant find a way to fix this, please help! Thanks!",<html><onload>,16/01/03 9:34,LQ_EDIT,"<html><onload>, when website is loaded, get news from txt file,     <script type=""text/javascript"">
    						$(document).ready(function() {
    							$(""body"").ready(function() {
    								$.ajax({
    									url : ""helloworld.txt"",
    									dataType: ""text"",
    									success : function (data) {
    										$("".slider"").html(data);
    									}
    								});
    							});
    						});</script>

I want this code to get HTML code from a txt file and add it in here:

    <div class=""slider""> <!-- News Slider --> </div>

The txt file contains the following:

    <div class=""callbacks_container"">
								<ul class=""rslides"" id=""slider"">
									<li>	          
										<h2><a href=""http://services.runescape.com/m=news/christmas--zeah?oldschool=1"">Zeah</a></h2>
										<h3><a href=""http://services.runescape.com/m=news/christmas--zeah?oldschool=1"">New continent, 50% expansion</a></h3>
									</li>
									<li>	          
										<h2><a href=""https://www.facebook.com"">Sailing</a></h2>
										<h3><a href=""https://www.facebook.com"">Sail around the world</a></h3>
									</li>
									<li>	          
										<h2><a href=""http://services.runescape.com/m=news/old-school-in-2016?oldschool=1"">2016</a></h2>		
										<h3><a href=""http://services.runescape.com/m=news/old-school-in-2016?oldschool=1"">Christmas event coming to an end</a></h3>
									</li>
								</ul>
							</div>

The function above doesn't work but i cant find a way to fix this, please help! Thanks!","<html><unload>, west loaded, get news txt file, <script type=""text/javascript""> $(document).ready(function() { $(""body"").ready(function() { $.ajar({ curl : ""helloworld.txt"", datatype: ""text"", success : function (data) { $("".slide"").html(data); } }); }); });</script> want code get html code txt file add here: <did class=""slide""> <!-- news slide --> </did> txt file contain following: <did class=""callbacks_container""> <up class=""sides"" id=""slide""> <li> <he><a he=""http://services.runescape.com/m=news/christmas--zeal?oldschool=1"">zeal</a></he> <he><a he=""http://services.runescape.com/m=news/christmas--zeal?oldschool=1"">new continent, 50% expansion</a></he> </li> <li> <he><a he=""http://www.facebook.com"">sailing</a></he> <he><a he=""http://www.facebook.com"">sail around world</a></he> </li> <li> <he><a he=""http://services.runescape.com/m=news/old-school-in-2016?oldschool=1"">2016</a></he> <he><a he=""http://services.runescape.com/m=news/old-school-in-2016?oldschool=1"">christmas event come end</a></he> </li> </up> </did> function work can find way fix this, pleas help! thanks!"
34575561,Automatically run gulp tasks after saving some of javascript files in Visual Studio,"<p>I have a folder in my asp.net project that contains some javascript files. Just before building project, they are minified and copied to ""wwwroot"" folder using gulp. It works great, but when I make some changes to any of javascript files, I have to restart entire project (to run tasks connected with building) or manually run tasks from ""Task Runner Explorer"".</p>

<p>It takes some time and it is quite irritating. Is it some way to run those tasks as soon as I save any of javascript files in this folder?</p>
",<asp.net><visual-studio><visual-studio-2015><gulp>,16/01/03 10:36,HQ,"<asp.net><visual-studio><visual-studio-2015><gulp>, Automatically run gulp tasks after saving some of javascript files in Visual Studio, <p>I have a folder in my asp.net project that contains some javascript files. Just before building project, they are minified and copied to ""wwwroot"" folder using gulp. It works great, but when I make some changes to any of javascript files, I have to restart entire project (to run tasks connected with building) or manually run tasks from ""Task Runner Explorer"".</p>

<p>It takes some time and it is quite irritating. Is it some way to run those tasks as soon as I save any of javascript files in this folder?</p>
","<asp.net><visual-studio><visual-studio-2015><gulp>, automatic run gulp task save javascript file visual studio, <p>i older asp.net project contain javascript files. build project, mining copy ""wwwroot"" older use gulp. work great, make change javascript files, start enter project (to run task connect building) manual run task ""task runner explorer"".</p> <p>it take time quit irritating. way run task soon save javascript file older?</p>"
34575753,Difference between sprite and texture?,"<p>Can you please explain the difference between texture and sprite? When we zoom in a sprite, it appears blurry because it's basically an image. Is it the same for a texture?</p>

<p>I read this comment on the image below online: </p>

<blockquote>
  <p>The background layers are textures and not sprites.</p>
</blockquote>

<p><a href=""https://i.stack.imgur.com/Rfr5B.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/Rfr5B.png"" alt=""enter image description here""></a></p>

<p>Can someone explain?</p>
",<image><unity3d><textures><sprite><unity5>,16/01/03 10:59,HQ,"<image><unity3d><textures><sprite><unity5>, Difference between sprite and texture?, <p>Can you please explain the difference between texture and sprite? When we zoom in a sprite, it appears blurry because it's basically an image. Is it the same for a texture?</p>

<p>I read this comment on the image below online: </p>

<blockquote>
  <p>The background layers are textures and not sprites.</p>
</blockquote>

<p><a href=""https://i.stack.imgur.com/Rfr5B.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/Rfr5B.png"" alt=""enter image description here""></a></p>

<p>Can someone explain?</p>
","<image><united><texture><spite><unity>, differ spite texture?, <p>can pleas explain differ texture spite? room spite, appear burri basic image. texture?</p> <p>i read comment image online: </p> <blockquote> <p>the background layer texture series.</p> </blockquote> <p><a he=""http://i.stick.incur.com/rfr5b.pig"" red=""noreferrer""><ing sac=""http://i.stick.incur.com/rfr5b.pig"" at=""went image rescript here""></a></p> <p>can someone explain?</p>"
34575897,Passing a component as an 'argument' to another component in Angular 2,"<p>I am new to web development and I have just started building an Angular 2 app. At this point I am trying to create some CRUD components/forms but I find my self duplicating a lot of code. I am not going to ask what are the common best practices to avoid code duplication and achieve component reusability when designing CRUD applications with Angular2, because the post will get locked. I will rather focus on one particular aspect:</p>

<p>I have a ""CRUD page"" that has a list (it is an html table actually) of resources and several buttons that open up ""create"", ""read"", and ""edit"" forms. The list is a separate component on its own and the create/read/edit separate components as well. Each row of the table includes another component which knows how to render a resource item. I will call this <code>&lt;resource-item&gt;</code> component. However, I have several of those ""CRUD pages"", each page for a different resource. So what I want is to reuse the list component for all the resources. So the first thing to do is to add Inputs or Attributes to the list component in order to control its labels. So far so good. </p>

<p>But what about the <code>&lt;resource-item&gt;</code> component? Each resource of my application might have a completely different structure. As a result I will need different components for different resources, e.g.: <code>&lt;resource-a-item&gt;</code>, <code>&lt;resource-b-item&gt;</code>, etc. How can I specify which resource item component I want to use every time I create a list component?</p>

<p>Thank you for your time.</p>
",<typescript><angular>,16/01/03 11:17,HQ,"<typescript><angular>, Passing a component as an 'argument' to another component in Angular 2, <p>I am new to web development and I have just started building an Angular 2 app. At this point I am trying to create some CRUD components/forms but I find my self duplicating a lot of code. I am not going to ask what are the common best practices to avoid code duplication and achieve component reusability when designing CRUD applications with Angular2, because the post will get locked. I will rather focus on one particular aspect:</p>

<p>I have a ""CRUD page"" that has a list (it is an html table actually) of resources and several buttons that open up ""create"", ""read"", and ""edit"" forms. The list is a separate component on its own and the create/read/edit separate components as well. Each row of the table includes another component which knows how to render a resource item. I will call this <code>&lt;resource-item&gt;</code> component. However, I have several of those ""CRUD pages"", each page for a different resource. So what I want is to reuse the list component for all the resources. So the first thing to do is to add Inputs or Attributes to the list component in order to control its labels. So far so good. </p>

<p>But what about the <code>&lt;resource-item&gt;</code> component? Each resource of my application might have a completely different structure. As a result I will need different components for different resources, e.g.: <code>&lt;resource-a-item&gt;</code>, <code>&lt;resource-b-item&gt;</code>, etc. How can I specify which resource item component I want to use every time I create a list component?</p>

<p>Thank you for your time.</p>
","<typescript><angular>, pass common 'argument' not common angular 2, <p>i new web develop start build angular 2 pp. point try great crude components/form find self public lot code. go ask common best practice avoid code public achieve common refusal design crude applied angular, post get locked. rather focus one particular aspect:</p> <p>i ""crude page"" list (it html table actually) resource never button open ""create"", ""read"", ""edit"" forms. list spear common create/read/edit spear common well. row table include not common know render resource item. call <code>&it;resource-item&it;</code> component. however, never ""crude pages"", page differ resource. want zeus list common resources. first thing add input attribute list common order control labels. far good. </p> <p>but <code>&it;resource-item&it;</code> component? resource applied might complete differ structure. result need differ common differ resources, e.g.: <code>&it;resource-a-item&it;</code>, <code>&it;resource-b-item&it;</code>, etc. specific resource item common want use every time great list component?</p> <p>thank time.</p>"
34576004,Simple way to reset Django PostgreSQL database?,"<p>I was able to reset a Django PostgreSQL database using the following steps:</p>

<ol>
<li>Delete migration files</li>
<li>Enter psql command prompt. Connect to database. drop schema public cascade; create schema public;</li>
<li>Step 2 unfortunately seemed to have removed my user role and rights so I went back to the psql command promt and recreated those.</li>
<li>Step 2 also meant I needed to run the following commands in the psql command prompt: grant usage on schema public to public;
grant create on schema public to public;</li>
<li>Step 2 also deleted the standard Django users I had created so I needed to recreate these</li>
<li>python manage.py makemigrations &amp;&amp; python manage.py migrate</li>
</ol>

<p>I am currently making changes to my models and testing each change. I don't have any data I need to keep. Is there an easier way than the above to reset the database when migrations donät work?</p>

<p>I would at least like to replace step 2 with something else so that I can skip steps 3-5.</p>
",<django><postgresql>,16/01/03 11:28,HQ,"<django><postgresql>, Simple way to reset Django PostgreSQL database?, <p>I was able to reset a Django PostgreSQL database using the following steps:</p>

<ol>
<li>Delete migration files</li>
<li>Enter psql command prompt. Connect to database. drop schema public cascade; create schema public;</li>
<li>Step 2 unfortunately seemed to have removed my user role and rights so I went back to the psql command promt and recreated those.</li>
<li>Step 2 also meant I needed to run the following commands in the psql command prompt: grant usage on schema public to public;
grant create on schema public to public;</li>
<li>Step 2 also deleted the standard Django users I had created so I needed to recreate these</li>
<li>python manage.py makemigrations &amp;&amp; python manage.py migrate</li>
</ol>

<p>I am currently making changes to my models and testing each change. I don't have any data I need to keep. Is there an easier way than the above to reset the database when migrations donät work?</p>

<p>I would at least like to replace step 2 with something else so that I can skip steps 3-5.</p>
","<django><postgresql>, simple way rest django postgresql database?, <p>i all rest django postgresql database use follow steps:</p> <of> <li>delete migrate files</li> <li>went pool command prompt. connect database. drop scheme public cascade; great scheme public;</li> <li>step 2 unfortun seem remove user role right went back pool command prompt retreat those.</li> <li>step 2 also meant need run follow command pool command prompt: grant usage scheme public public; grant great scheme public public;</li> <li>step 2 also delete standard django user great need retreat these</li> <li>patron manage.i makemigr &amp;&amp; patron manage.i migrate</li> </of> <p>i current make change model test change. data need keep. easier way rest database migrate dont work?</p> <p>i would least like replace step 2 cometh else skin step 3-5.</p>"
34576493,[Android][Listview] Unable to show my ArrayList data in Listview,"The question is... I put my data in ArrayList and adding to ListView. But there has no data show on ListView but I am sure those data has been retrieved.

The System output for testing is correct.( my data )

Please solve my question...
There is my partial code: 
 
    public class query_page extends AppCompatActivity {
    　　　　public ArrayList<String> show_Location, show_Messages;
    　　　　public ListView listView;

    @Override
    protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        setContentView(R.layout.activity_query_page);
        show_Location = new ArrayList<String>();
        show_Messages = new ArrayList<String>();
        listView = (ListView) findViewById(R.id.listView);
        
        ParseQuery<ParseObject> query = ParseQuery.getQuery(""Danger"");
        query.findInBackground(new FindCallback<ParseObject>() {
            @Override
            public void done(List<ParseObject> list, ParseException e) {
                if (e == null) {
                    for (ParseObject j : list) {
                        show_Location.add(j.getString(""DangerLocation""));
                        show_Messages.add(j.getString(""DangerMessage""));
                        System.out.println(""Location: "" + j.getString(""DangerLocation""));
                        System.out.println(""Messages: "" + j.getString(""DangerMessage""));
                    }
                    ArrayAdapter adapter = new ArrayAdapter(query_page.this, android.R.layout.simple_list_item_1, show_Location);
                    listView.setAdapter(adapter);

                } else {
                    System.out.println(""Exception occur! "");
                }
            }
        });
    }
}",<android><android-layout><arraylist><android-listview><android-adapter>,16/01/03 12:24,LQ_EDIT,"<android><android-layout><arraylist><android-listview><android-adapter>, [Android][Listview] Unable to show my ArrayList data in Listview, The question is... I put my data in ArrayList and adding to ListView. But there has no data show on ListView but I am sure those data has been retrieved.

The System output for testing is correct.( my data )

Please solve my question...
There is my partial code: 
 
    public class query_page extends AppCompatActivity {
    　　　　public ArrayList<String> show_Location, show_Messages;
    　　　　public ListView listView;

    @Override
    protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        setContentView(R.layout.activity_query_page);
        show_Location = new ArrayList<String>();
        show_Messages = new ArrayList<String>();
        listView = (ListView) findViewById(R.id.listView);
        
        ParseQuery<ParseObject> query = ParseQuery.getQuery(""Danger"");
        query.findInBackground(new FindCallback<ParseObject>() {
            @Override
            public void done(List<ParseObject> list, ParseException e) {
                if (e == null) {
                    for (ParseObject j : list) {
                        show_Location.add(j.getString(""DangerLocation""));
                        show_Messages.add(j.getString(""DangerMessage""));
                        System.out.println(""Location: "" + j.getString(""DangerLocation""));
                        System.out.println(""Messages: "" + j.getString(""DangerMessage""));
                    }
                    ArrayAdapter adapter = new ArrayAdapter(query_page.this, android.R.layout.simple_list_item_1, show_Location);
                    listView.setAdapter(adapter);

                } else {
                    System.out.println(""Exception occur! "");
                }
            }
        });
    }
}","<andros><andros-layout><arraylist><andros-listview><andros-adapted>, [andros][listview] unable show arraylist data listview, question is... put data arraylist ad listview. data show listview sure data retrieved. system output test correct.( data ) pleas sole question... partial code: public class query_pag extend appcompatact { public arraylist<string> show_location, show_messages; public listview listview; @overdid protect void increase(bundle savedinstancestate) { super.increase(savedinstancestate); setcontentview(r.layout.activity_query_page); show_loc = new arraylist<string>(); show_messag = new arraylist<string>(); listview = (listview) findviewbyid(r.id.listview); parsequery<parseobject> query = parsequery.getquery(""danger""); query.findinbackground(new findcallback<parseobject>() { @overdid public void done(list<parseobject> list, parseexcept e) { (e == null) { (parseobject j : list) { show_location.add(j.getting(""dangerlocation"")); show_messages.add(j.getting(""dangermessage"")); system.out.print(""location: "" + j.getting(""dangerlocation"")); system.out.print(""messages: "" + j.getting(""dangermessage"")); } arrayadapt adapt = new arrayadapter(query_page.this, andros.r.layout.simple_list_item_1, show_location); listview.setadapter(adapted); } else { system.out.print(""except occur! ""); } } }); } }"
